id,capacity,vehiclesperhour,permlanes,length,freespeed
44,5000.0,13.0,1.0,250.0,8.33
45,5000.0,13.0,1.0,200.0,8.33
46,5000.0,13.0,1.0,200.0,8.33
47,5000.0,13.0,1.0,350.0,8.33
48,4000.0,0.0,1.0,100.0,8.33
49,4000.0,0.0,1.0,100.0,8.33
50,4000.0,0.0,1.0,100.0,8.33
51,4000.0,26.0,1.0,100.0,8.33
52,4000.0,13.0,1.0,100.0,8.33
53,4000.0,0.0,1.0,100.0,8.33
10,5000.0,13.0,1.0,250.0,8.33
54,5000.0,0.0,1.0,350.0,8.33
11,5000.0,53.0,1.0,350.0,8.33
55,5000.0,0.0,1.0,200.0,8.33
12,5000.0,13.0,1.0,200.0,8.33
56,5000.0,13.0,1.0,200.0,8.33
13,5000.0,0.0,1.0,200.0,8.33
57,5000.0,13.0,1.0,250.0,8.33
14,5000.0,13.0,1.0,250.0,8.33
58,6000.0,0.0,1.0,400.0,8.33
15,5000.0,13.0,1.0,100.0,8.33
16,5000.0,0.0,1.0,100.0,8.33
17,5000.0,13.0,1.0,100.0,8.33
18,5000.0,13.0,1.0,100.0,8.33
19,5000.0,13.0,1.0,100.0,8.33
1,6000.0,26.0,1.0,500.0,8.33
2,6000.0,26.0,1.0,500.0,8.33
3,5000.0,39.0,1.0,350.0,8.33
4,5000.0,0.0,1.0,350.0,8.33
5,5000.0,39.0,1.0,200.0,8.33
6,5000.0,13.0,1.0,200.0,8.33
7,5000.0,53.0,1.0,200.0,8.33
8,5000.0,13.0,1.0,200.0,8.33
9,5000.0,26.0,1.0,250.0,8.33
20,4000.0,0.0,1.0,100.0,8.33
21,4000.0,26.0,1.0,100.0,8.33
22,4000.0,0.0,1.0,100.0,8.33
23,4000.0,0.0,1.0,100.0,8.33
24,4000.0,0.0,1.0,100.0,8.33
25,4000.0,0.0,1.0,100.0,8.33
26,4000.0,13.0,1.0,100.0,8.33
27,4000.0,13.0,1.0,100.0,8.33
28,4000.0,13.0,1.0,100.0,8.33
29,4000.0,13.0,1.0,100.0,8.33
30,4000.0,26.0,1.0,100.0,8.33
31,5000.0,39.0,1.0,250.0,8.33
32,5000.0,26.0,1.0,200.0,8.33
33,5000.0,0.0,1.0,200.0,8.33
34,5000.0,0.0,1.0,350.0,8.33
35,4000.0,0.0,1.0,100.0,8.33
36,4000.0,0.0,1.0,100.0,8.33
37,4000.0,13.0,1.0,100.0,8.33
38,4000.0,26.0,1.0,100.0,8.33
39,4000.0,0.0,1.0,100.0,8.33
40,4000.0,0.0,1.0,100.0,8.33
41,4000.0,0.0,1.0,100.0,8.33
42,4000.0,39.0,1.0,100.0,8.33
43,4000.0,0.0,1.0,100.0,8.33
