id,from_node_id,to_node_id,status
44,21,20,1
45,20,19,1
46,19,18,1
47,18,17,1
48,12,22,1
49,22,12,1
50,23,13,1
51,14,24,1
52,26,16,1
53,16,26,1
10,6,5,1
54,22,23,1
11,7,8,1
55,23,24,1
12,8,9,1
56,24,25,1
13,9,10,1
57,25,26,1
14,10,11,1
58,2,1,1
15,2,7,1
16,7,2,1
17,3,8,1
18,9,4,1
19,5,10,1
1,1,2,1
2,1,7,1
3,2,3,1
4,3,2,1
5,3,4,1
6,4,3,1
7,4,5,1
8,5,4,1
9,5,6,1
20,10,5,1
21,6,11,1
22,11,6,1
23,2,12,1
24,12,2,1
25,13,3,1
26,4,14,1
27,5,15,1
28,15,5,1
29,6,16,1
30,16,6,1
31,16,15,1
32,15,14,1
33,14,13,1
34,13,12,1
35,12,1,1
36,7,17,1
37,17,7,1
38,8,18,1
39,19,9,1
40,10,20,1
41,20,10,1
42,11,21,1
43,21,11,1
